County/City,Total_Population,Total_Female_Population,White_Population,Median_Age,Median_Income,Female_Proportion,White_Proportion
Franklin city,8413,4714,3226,38.7,21726,0.5603233091643884,0.3834541780577677
Fredericksburg city,27853,14787,17816,29.5,28356,0.5308943381323377,0.6396438444691774
Galax city,6858,3568,6097,45.1,18578,0.5202682997958589,0.8890347039953339
Hampton city,136789,70806,57799,35.6,27104,0.5176293415406209,0.4225412862145348
Harrisonburg city,51979,27122,43920,24.0,16026,0.521787645010485,0.8449566170953654
Hopewell city,22332,11949,11701,36.5,24555,0.5350617947340139,0.5239566541286047
Lexington city,7036,3057,5942,21.5,7180,0.43447981807845365,0.8445139283683911
Lynchburg city,78755,41768,51300,28.6,18259,0.5303536283410577,0.6513872135102533
Manassas city,41149,20694,28650,33.4,33155,0.5029040802935673,0.6962502126418625
Manassas Park city,15827,7440,10533,33.1,35718,0.4700827699500853,0.6655083085865925
Martinsville city,13551,7326,6657,42.7,19560,0.5406243081691388,0.49125525791454505
Newport News city,181606,93535,90072,32.9,26688,0.5150435558296532,0.49597480259462795
Norfolk city,245724,117713,117165,30.2,24388,0.47904559587179113,0.4768154514821507
Norton city,3978,2215,3469,39.6,19700,0.5568124685771745,0.8720462543991956
Petersburg city,31997,17288,5420,38.8,20808,0.5403006531862362,0.16939088039503702
Poquoson city,12068,6156,11396,43.4,38503,0.5101093801789858,0.9443155452436195
Portsmouth city,96071,49765,39135,35.0,25970,0.5180023107909775,0.40735497704822476
Radford city,17186,8642,14509,22.7,11444,0.5028511579192366,0.8442336785755847
Richmond city,216773,113837,95796,33.2,23255,0.5251438140358808,0.44191850461081406
Roanoke city,99329,51805,63336,38.1,23017,0.5215495978012463,0.6376385547020508
Salem city,25290,13386,22248,40.6,27082,0.5293001186239621,0.8797153024911032
Staunton city,24234,13297,20197,42.6,24988,0.5486919204423537,0.8334158620120492
Suffolk city,87061,44917,45514,38.4,31479,0.5159256153731292,0.5227828763740366
Virginia Beach city,449733,228710,304213,35.4,33462,0.5085461818456729,0.6764302374964701
Waynesboro city,21366,11161,17478,39.5,26355,0.5223719928858934,0.8180286436394272
Williamsburg city,14988,8456,11207,24.4,15283,0.5641846810781959,0.7477315185481719
Winchester city,27349,13994,22131,37.0,25348,0.5116823284215145,0.8092069179860324
